label,idx
,1
B-arrive_date.day_number,50
I-fromloc.city_name,51
B-toloc.airport_code,52
B-airline_name,54
B-fromloc.state_name,55
I-fare_basis_code,36
I-toloc.state_name,99
I-fare_amount,57
I-depart_time.start_time,2
I-arrive_time.time_relative,58
B-fromloc.city_name,59
I-airline_name,60
I-depart_date.today_relative,101
I-fromloc.airport_name,61
B-arrive_time.time,4
B-depart_time.time_relative,5
B-return_date.month_name,6
B-arrive_date.month_name,63
I-return_date.today_relative,65
B-cost_relative,7
B-depart_date.date_relative,8
I-class_type,66
B-depart_time.time,9
B-toloc.state_code,11
B-flight_mod,115
I-depart_time.end_time,12
B-round_trip,13
B-transport_type,69
B-fare_amount,70
B-or,14
I-depart_time.time_relative,118
I-return_date.day_number,71
B-time,72
I-restriction_code,73
B-time_relative,104
B-arrive_date.day_name,16
B-stoploc.airport_name,116
B-arrive_time.period_mod,75
B-depart_date.year,77
B-stoploc.city_name,76
I-economy,95
B-toloc.country_name,56
B-arrive_date.date_relative,17
B-depart_time.start_time,62
B-today_relative,78
O,106
B-toloc.airport_name,19
B-return_date.day_number,20
B-economy,21
I-arrive_time.start_time,79
B-arrive_time.end_time,22
B-restriction_code,96
I-meal_description,23
B-stoploc.state_code,81
B-airline_code,24
I-cost_relative,82
B-depart_time.period_of_day,83
B-return_date.today_relative,84
B-period_of_day,80
B-day_number,18
B-flight_time,85
B-meal_description,27
B-days_code,87
B-meal_code,88
I-depart_time.period_of_day,89
I-meal_code,86
B-flight_days,90
B-depart_time.period_mod,91
B-state_code,92
I-airport_name,93
B-return_date.day_name,28
B-depart_date.month_name,94
B-depart_time.end_time,15
I-stoploc.city_name,29
I-flight_mod,97
B-return_time.period_mod,98
B-month_name,30
B-mod,100
I-today_relative,31
I-toloc.city_name,45
I-arrive_time.time,32
B-arrive_time.period_of_day,102
B-city_name,103
B-return_date.date_relative,33
B-toloc.city_name,34
B-aircraft_code,35
I-return_date.date_relative,25
B-fromloc.airport_code,37
B-meal,64
I-arrive_time.period_of_day,38
B-arrive_date.today_relative,39
I-arrive_time.end_time,3
B-fromloc.airport_name,74
I-arrive_date.day_number,105
B-class_type,108
B-day_name,109
I-depart_time.time,110
I-flight_stop,40
B-fare_basis_code,26
I-fromloc.state_name,53
B-state_name,112
I-round_trip,113
B-fromloc.state_code,41
B-depart_date.today_relative,114
I-toloc.airport_name,42
B-flight_number,117
B-depart_date.day_number,10
I-city_name,119
B-airport_name,43
B-depart_date.day_name,44
I-depart_date.day_number,107
B-toloc.state_name,111
I-transport_type,120
B-connect,47
I-flight_time,46
B-arrive_time.start_time,67
B-flight_stop,48
I-time,121
B-return_time.period_of_day,122
B-arrive_time.time_relative,68
B-airport_code,49
